date,category,tags,provider,comments,title,summary,articleUrl,imageUrl
20120113175408,society,범죄|성폭행,머니투데이,604,'옷벗기 게임' 여고생 성폭행 한 대학생들 징역 5년형,[ 뉴스1 제공](서울=뉴스1) 서재준 기자 = 술에 취해 집단으로 여고생을 성폭행 한 대학생들에게 항소심서도 중형이 선고됐다.서울고등법원 형사8부(부장판사 황한식)는 일명 '옷벗기 게임'을 하며 술을 마시던 여고생 A씨(17)를 집단 성폭행 한 혐의로 구속 기소된 대학생 지모씨(21)와 이모씨(21)에 각각 징역 5년의 실형을 선고했다.법원은 또한 이,http://v.media.daum.net/v/20120113175408311,
20120113112303,entertain,여성혐오|혐오,스포츠동아,568,조선중앙TV 20대 초반 미녀 앵커 등장 ‘북한 초미녀?’,[동아닷컴]북한 조선중앙TV에 등장한 20대 초반의 앳된 여성앵커. 사진=채널A 화면 캡쳐북한 조선중앙TV에 20대 초반으로 보이는 앳된 여성 앵커가 등장했다.이 여성 앵커는 부리부리한 눈매에 복스러운 얼굴로 북한 남성들이 선호하는 미인형이다.이 여성 앵커는 김정은의 생일인 지난 8일 첫 선을 보여 김정일에서 김정은으로 최고 권력자가 바뀌면서 아나운서도,http://v.media.daum.net/v/20120113112303010,http://t1.daumcdn.net/news/201201/13/sportsdonga/20120113112904029.jpg
20120114205504,society,범죄|성매매,머니투데이,259,용산 집창촌 사라졌다더니… 파출소옆 '은밀 영업',"[머니투데이 이미호 이명재 기자]'역사 속으로 사라졌다'던 서울 용산역 앞 성매매집결지(속칭 집창촌)가 여전히 '역사 속에 존재'하는 것으로 나타났다.경찰은 지난해 9월 '서울 5대 성매매 집결지' 가운데 하나로 꼽히던 용산역 집창촌이 역사 속으로 퇴장했다고 '자랑스럽게' 밝혔지만, 여전히 집결지에서는 음성적인 성매매가 이뤄지고 있는 것으로 확인됐다.◇",http://v.media.daum.net/v/20120114205504559,http://t1.daumcdn.net/news/201201/14/moneytoday/20120114205504860.jpg
20120115172728,economic,여성혐오|혐오,매일경제,281,"이건희 회장 ""세자녀 승진 공부하는 것 보고""","美 CES 참관 ""일본은 힘 좀 빠졌고, 중국은 한국 쫓아오기엔 아직…""1등 하는 제품 몇개 있지만 만족 못해…상상력·창의력 활용해 힘있게 나가야""(세 자녀들이) 지금 열심히들 공부하고 있는데, (역할 확대는) 하는 것 보고 해야죠."" 이건희 삼성전자 회장이 자녀들의 경영수업은 진행 중이라고 말했다. 경영인은 같은 핏줄이라고 해서 되는 게 아니라 실력이",http://v.media.daum.net/v/20120115172728316,
20120116011805,society,여성혐오|혐오,머니투데이,639,"'박원순 폭행녀' 이번엔 팝페라가수 임형주에 ""빨갱이야""",[머니투데이 이창명기자][세종문화회관 콘서트에서 소동…노무현 전 대통령 취임식에 애국가 부른 것에 불만]ⓒ임성균 기자 tjdrbs23@'박원순·정동영 폭행녀'가 이번엔 팝페라 가수 임형주씨(26) 콘서트장에서 소란을 피우다 경찰에 붙잡혔다.서울 종로경찰서는 임형주 콘서트장에서 소란을 피우고 임씨를 비난한 혐의(업무방해 및 명예훼손)로 박모씨(63)를 붙,http://v.media.daum.net/v/20120116011805601,http://t1.daumcdn.net/news/201201/16/moneytoday/20120116084805531.jpg
20120116121606,society,여성혐오|혐오,MBN,280,[단독]박원순 폭행녀 콘서트장 난동 현장 목격기,"【 앵커멘트 】세종문화회관 대강당에서 공연 도중 한 60대 여성이 팝페라 가수를 향해 ""빨갱이""라고 외치는 난동을 부렸습니다이 여성은 박원순 서울시장과 정동영 의원을 전에도 폭행한 여성이었습니다.현장에 있었던 최중락 기자가 전해드립니다.【 기자 】어제(15일) 일요일 저녁 6시 세종문화회관 대강당에서 열린 팝페라 가수 임형주씨의 전국투어 콘서트.'오리엔",http://v.media.daum.net/v/20120116121606546,http://t1.daumcdn.net/news/201201/16/mbn/20120116121606683.jpg
20120117040156,society,강간|범죄|성추행|성폭력|성폭행|추행,서울신문,1198,고교 교사가 친딸 18년간 성추행·폭행,[서울신문]친딸을 18년 동안 성추행과 성폭행을 한 인면수심의 아버지에게 법원이 중형을 선고했다. 법원은 이례적으로 피해자인 딸이 처벌을 원하지 않는다는 의사를 받아들이지 않았다. 서울중앙지법 형사합의29부(부장 배준현)는 16일 성폭력특례법위반(친족관계에 의한 강간) 등 혐의로 기소된 김모(56)씨에게 징역 8년을 선고했다고 밝혔다. 또 신상 정보공개,http://v.media.daum.net/v/20120117040156033,
20120117130313,entertain,육아,뉴스엔,724,‘안녕하세요’ 게스트 논란 “육아휴직 중인 아내가 돈벌어야..” 또 황당해법 도마,"[뉴스엔 김미겸 기자]'안녕하세요' 게스트들의 자격 논란이 불어졌다.1월 16일 방송된 KBS 2TV '안녕하세요'에서는 걸그룹 브라운아이드걸스 나르샤, 미료와 애프터 스쿨 리지, 정아 등이 게스트로 출연해 패널들의 고민에 대해 조언했다. 그런데 이들 게스트들이 이날 일반 출연자들의 사연을 듣고 조언하는 과정에서 황당한 해법을 제시하고 잡담식으로 풀어내",http://v.media.daum.net/v/20120117130313716,http://t1.daumcdn.net/news/201201/17/newsen/20120117130313743.jpg
20120117210333,society,범죄|성폭력,한국일보,309,"강대희 서울의대 신임 학장 ""의대생 선발 때 인성 평가 하겠다""","""졸업 전 봉사활동 필수… 인문학 과목 신설할 것""""의학지식만 있다고 의사가 아닙니다. 의사로서 갖춰야 할 기본적인 자질이 있지요. 지난해 있었던 의대생 성폭력 사건도 같은 맥락이라고 봐요. 앞으로는 인성을 보고 의대생을 뽑을 생각입니다.""강대희(50) 서울대 의대 신임 학장은 17일 취임식에 앞서 혜화동 서울대병원 함춘회관에서 가진 기자간담회에서 ""앞",http://v.media.daum.net/v/20120117210333786,http://t1.daumcdn.net/news/201201/18/hankooki/20120118002509477.jpg
20120119154326,society,페미니즘,한국일보,1206,"""내게 팬티를 사준 남자, 이근안에게…""","이근안에 고문당한 여기자 ""당신이 목사라니"" 분개""청소부가 되어 자신의 죄를 씻고 또 씻으라"" 권유'고문 기술자' 이근안에게 물고문을 당한 전직 기자의 글이 화제다. 페미니스트 웹진 이프의 공동대표인 유숙열씨는 17일 '내게 팬티를 사준 남자, 이근안에게…'라는 편지글을 올려 합동통신 2년차 기자로 일하던 1980년 7월 17일 남영동 치안본부 대공분실",http://v.media.daum.net/v/20120119154326232,http://t1.daumcdn.net/news/201201/19/hankooki/20120119154326219.jpg
